rank,stock_id,stock_name,close,risk_adjusted_score,final_score,model_prob,rule_score,prediction_score,setup_score,quality_score,risk_penalty,suggested_weight,max_position_weight,gross_exposure,allocated_exposure,cash_weight,exposure_note,risk_reward,market_regime,shadow_market_regime,shadow_score,reasons
1,6127,九豪,50.4,2.29458742632613,0.6640697090245523,1.0,0.8,1.0,0.47014925373134325,1.0,0.0,0.0756,0.117,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,2.0,NEUTRAL,RISK_OFF,2.29458742632613,"**🎯 操作策略**  
• 進場：50.4  
• 止損：47.9 (回檔5%)  
• 目標：55.4 (+10%)  

**💡 關鍵理由**  
• candle_bull_harami"
2,2409,友達,26.4,2.2858690866233777,0.646970079091616,1.0,0.0,1.0,0.4104477611940298,1.0,0.0,0.0754,0.117,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,2.0,NEUTRAL,RISK_OFF,2.2858690866233777,"**🎯 操作策略**  
• 進場：26.4  
• 止損：25.3 (月線支撐)  
• 目標：29.0 (+10%)  

**💡 關鍵理由**  
• 綜合技術指標轉強"
3,8210,勤誠,990.0,2.098262623266467,0.664598797730618,1.0,0.8,1.0,0.47014925373134325,1.0,0.25,0.0648,0.1068,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,,NEUTRAL,RISK_OFF,2.098262623266467,"**🎯 操作策略**  
• 進場：990.0  
• 止損：940.5 (回檔5%)  
• 目標：1089.0 (+10%)  

**💡 關鍵理由**  
• candle_bull_harami"
4,2834,臺企銀,17.1,1.951824104109145,0.6540000614976094,0.411371237458194,2.0,0.411371237458194,0.5597014925373134,1.0,0.0,0.0643,0.117,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,2.0,NEUTRAL,RISK_OFF,1.951824104109145,"**🎯 操作策略**  
• 進場：17.1  
• 止損：16.2 (月線支撐)  
• 目標：18.8 (+10%)  

**💡 關鍵理由**  
• 突破20日新高 (壓力17.0)"
5,2327,國巨*,568.0,1.9517993284574373,0.675566808264523,1.0,0.8,1.0,0.47014925373134325,1.0,0.25,0.0603,0.1068,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,33.82,NEUTRAL,RISK_OFF,1.9517993284574373,"**🎯 操作策略**  
• 進場：568.0  
• 止損：539.6 (回檔5%)  
• 目標：624.8 (+10%)  

**💡 關鍵理由**  
• candle_bull_harami"
6,2891,中信金,66.5,1.9082661636243863,0.7735051646905168,0.411371237458194,5.0,0.411371237458194,0.7835820895522387,1.0,0.0,0.0629,0.117,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,2.0,NEUTRAL,RISK_OFF,1.9082661636243863,"**🎯 操作策略**  
• 進場：66.5  
• 止損：64.0 (月線支撐)  
• 目標：73.2 (+10%)  

**💡 關鍵理由**  
• 站上布林中軌  
• MACD黃金交叉 (09/01)  
• 跳空強勢收紅"
7,3363,上詮,786.0,1.9028880157170927,0.6989529630510917,0.64,2.0,0.64,0.5597014925373134,1.0,0.0,0.0627,0.117,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,2.0,NEUTRAL,RISK_OFF,1.9028880157170927,"**🎯 操作策略**  
• 進場：786.0  
• 止損：746.7 (回檔5%)  
• 目標：864.6 (+10%)  

**💡 關鍵理由**  
• 突破20日新高 (壓力747.0)"
8,5386,青雲,277.5,1.878202357563851,0.6237337555389363,0.64,0.0,0.64,0.4104477611940298,1.0,0.0,0.0619,0.117,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,2.0,NEUTRAL,RISK_OFF,1.878202357563851,"**🎯 操作策略**  
• 進場：277.5  
• 止損：263.6 (回檔5%)  
• 目標：305.2 (+10%)  

**💡 關鍵理由**  
• 綜合技術指標轉強"
9,2838,聯邦銀,20.25,1.8571574388152285,0.5140454197833415,0.292972972972973,0.0,0.292972972972973,0.4104477611940298,1.0,0.0,0.0612,0.117,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,2.75,NEUTRAL,RISK_OFF,1.8571574388152285,"**🎯 操作策略**  
• 進場：20.2  
• 止損：19.8 (月線支撐)  
• 目標：22.3 (+10%)  

**💡 關鍵理由**  
• 綜合技術指標轉強"
10,2820,華票,16.55,1.84227626582544,0.515085497602656,0.2743119266055045,0.8,0.2743119266055045,0.47014925373134325,1.0,0.0,0.0607,0.117,0.65,0.6498,0.3502,市場中性，採保守分散配置；目標總曝險 65%，目前配置 65%,2.0,NEUTRAL,RISK_OFF,1.84227626582544,"**🎯 操作策略**  
• 進場：16.5  
• 止損：16.0 (月線支撐)  
• 目標：18.2 (+10%)  

**💡 關鍵理由**  
• candle_bull_harami"
